,P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),S. Name,S. Constellation,S. Type,P. Disc. Method,P. Disc. Year
911,HD 220689 b,1.0,1.0,1.0,2.0,1,0.08894786,0.1212335,0.1696026,HD 220689,Aqr,G3V,Radial Velocity,2011
912,HD 220773 b,1.0,1.0,1.0,2.0,1,0.05048148,0.1337679,0.4792324,HD 220773,Peg,F9,Radial Velocity,2012
913,HD 220842 b,2.0,1.0,1.0,2.0,1,1.847941,3.980994,10.25189,HD 220842,Cas,F8,Radial Velocity,2016
914,HD 221287 b,3.0,1.0,1.0,2.0,1,0.9168034,1.072718,1.263327,HD 221287,Tuc,F7 V,Radial Velocity,2007
915,HD 221585 b,3.0,1.0,1.0,2.0,1,0.2990596,0.3799966,0.4903092,HD 221585,Cas,G8IV,Radial Velocity,2016
916,HD 222076 b,2.0,1.0,1.0,2.0,1,2.100431,2.457637,2.894329,HD 222076,Tuc,K,Radial Velocity,2016
917,HD 222155 b,1.0,1.0,1.0,2.0,1,0.07898127,0.1076493,0.1505987,HD 222155,And,G2V,Radial Velocity,2012
918,HD 222582 b,3.0,1.0,1.0,2.0,1,0.2249588,0.9718142,8.847733,HD 222582,Aqr,G5,Radial Velocity,1999
919,HD 224538 b,3.0,1.0,1.0,2.0,1,0.1998715,0.4834402,1.490613,HD 224538,Tuc,F9IV/V,Radial Velocity,2016
920,HD 224693 b,2.0,1.0,1.0,2.0,1,57.54436,63.51907,70.29321,HD 224693,Cet,G2IV,Radial Velocity,2006
921,HD 231701 b,2.0,1.0,1.0,2.0,1,7.198297,8.686065,10.57976,HD 231701,Sge,F8V,Radial Velocity,2007
922,HD 233604 b,2.0,1.0,1.0,2.0,1,91.29533,100.7743,111.5216,HD 233604,UMa,K5,Radial Velocity,2013
923,HD 238914 b,2.0,1.0,1.0,2.0,1,0.9515114,2.793942,11.95641,HD 238914,Dra,K7,Radial Velocity,2018
924,HD 240210 b,2.0,1.0,1.0,2.0,1,4.033018,5.393996,7.381268,HD 240210,Cas,K3III,Radial Velocity,2009
925,HD 240237 b,2.0,1.0,1.0,2.0,1,46.97815,100.4359,255.6963,HD 240237,Cas,K2III,Radial Velocity,2010
926,HD 283668 b,1.0,1.0,1.0,2.0,1,0.007897769,0.02403933,0.1097304,HD 283668,Tau,K,Radial Velocity,2016
927,HD 283869 b,3.0,2.0,2.0,1.0,2,1.146929,1.146929,1.146929,HD 283869,Tau,K,Primary Transit,2018
928,HD 284149 b,1.0,1.0,1.0,2.0,1,8.25E-06,8.25E-06,8.25E-06,HD 284149,Tau,F8,Imaging,2014
929,HD 285507 b,2.0,1.0,1.0,2.0,1,25.32943,29.98212,35.75674,HD 285507,Tau,K5,Radial Velocity,2013
930,HD 286123 b,2.0,1.0,1.0,1.0,1,101.3552,165.9878,291.2794,HD 286123,Tau,F9V,Primary Transit,2018
931,HD 290327 b,1.0,1.0,1.0,2.0,1,0.06212756,0.07269318,0.08560986,HD 290327,Ori,G8V,Radial Velocity,2009
932,HD 330075 b,2.0,1.0,1.0,1.0,1,250.7227,260.2281,270.1933,HD 330075,Nor,G5,Radial Velocity,2004
933,HII 1348 b,1.0,1.0,1.0,2.0,1,6.37E-06,6.37E-06,6.37E-06,HII 1348,Tau,K5V,Imaging,2012
934,HIP 5158 b,1.0,1.0,1.0,2.0,1,0.0880556,0.2480306,0.9865733,HIP 5158,Cet,K5V,Radial Velocity,2009
935,HIP 5158 c,1.0,1.0,1.0,2.0,1,0.002146286,0.00281671,0.003770914,HIP 5158,Cet,K5V,Radial Velocity,2010
936,HIP 8541 b,2.0,1.0,1.0,2.0,1,2.480329,3.380621,4.729402,HIP 8541,Eri,K2III,Radial Velocity,2016
937,HIP 11915 b,1.0,1.0,1.0,2.0,1,0.03793859,0.04613274,0.0566685,HIP 11915,Cet,G5V,Radial Velocity,2015
938,HIP 12961 b,2.0,1.0,1.0,2.0,1,4.233634,5.770329,8.072544,HIP 12961,Eri,M0V,Radial Velocity,2009
939,HIP 14810 b,2.0,1.0,1.0,2.0,1,129.8896,171.3372,230.7377,HIP 14810,Ari,G5,Radial Velocity,2006
940,HIP 14810 c,2.0,1.0,1.0,2.0,1,2.018176,2.771558,3.911927,HIP 14810,Ari,G5,Radial Velocity,2006
941,HIP 14810 d,1.0,1.0,1.0,2.0,1,0.1652499,0.2308188,0.3324005,HIP 14810,Ari,G5,Radial Velocity,2009
942,HIP 41378 b,2.0,3.0,1.0,1.0,1,158.9225,158.9225,158.9225,HIP 41378,Cnc,F,Primary Transit,2016
943,HIP 41378 c,2.0,3.0,1.0,1.0,1,61.59932,61.59933,61.59934,HIP 41378,Cnc,F,Primary Transit,2016
944,HIP 41378 d,2.0,3.0,1.0,1.0,1,7.29595,7.295951,7.295953,HIP 41378,Cnc,F,Primary Transit,2016
945,HIP 41378 e,2.0,3.0,1.0,1.0,1,9.287947,9.287947,9.287949,HIP 41378,Cnc,F,Primary Transit,2016
946,HIP 41378 f,2.0,1.0,1.0,2.0,1,2.776865,2.776865,2.776865,HIP 41378,Cnc,F,Primary Transit,2016
947,HIP 57050 b,3.0,1.0,1.0,2.0,1,0.322121,0.5856614,1.181563,HIP 57050,UMa,M4V,Radial Velocity,2010
